内容,分词,分词文本,情感标签,情感置信度
刷第三遍,['第三遍'],第三遍,positive,0.6803621649742126
基本触发器！,"['基本', '触发器']",基本 触发器,positive,0.7992146611213684
不如鸣潮,['鸣潮'],鸣潮,negative,0.8598135709762573
类似于人类的常识？,"['类似', '人类', '常识']",类似 人类 常识,positive,0.5080885291099548
原神怎么你了？,['原神'],原神,negative,0.5299146175384521
引人入胜,['引人入胜'],引人入胜,positive,0.9660341739654541
不放歌难受,"['放歌', '难受']",放歌 难受,negative,0.8901175260543823
增加权重,"['增加', '权重']",增加 权重,positive,0.9317461848258972
变成了一台iphone!,"['变成', '一台', 'iphone']",变成 一台 iphone,negative,0.8659898638725281
"能不能把特征也变成黑箱,这样说不定能学到人类没发现的规律","['不能', '特征', '变成', '黑箱', '说不定', '学到', '人类', '发现', '规律']",不能 特征 变成 黑箱 说不定 学到 人类 发现 规律,positive,0.5686027407646179
N-gram,['gram'],gram,positive,0.9033783674240112
孙悟空：我不同意！！！,"['孙悟空', '同意']",孙悟空 同意,negative,0.6174252033233643
本质上就是暴力求解不断拟合,"['本质', '暴力', '求解', '不断', '拟合']",本质 暴力 求解 不断 拟合,positive,0.6480911374092102
非线性拟合,"['非线性', '拟合']",非线性 拟合,positive,0.815427303314209
但是这是歧路,"['这是', '歧路']",这是 歧路,positive,0.5977045893669128
这有什么意义么,"['这有', '意义']",这有 意义,negative,0.9683472514152527
人工智能无人驾驶真的安全吗？遇到对抗神经网络不是大面积杀伤？,"['人工智能', '无人驾驶', '真的', '安全', '遇到', '对抗', '神经网络', '不是', '大面积', '杀伤']",人工智能 无人驾驶 真的 安全 遇到 对抗 神经网络 不是 大面积 杀伤,positive,0.5787509679794312
并不是真的在说话,"['不是', '真的', '说话']",不是 真的 说话,negative,0.9363753199577332
只是相似,['相似'],相似,negative,0.511947751045227
突然大声,"['突然', '大声']",突然 大声,negative,0.8060346245765686
因为这是一期三合一，只有第一部分是新视频,"['这是', '一期', '三合一', '第一', '部分', '视频']",这是 一期 三合一 第一 部分 视频,positive,0.812373697757721
可以四次方吗,['四次'],四次,positive,0.5609443187713623
这个图怎么做的,[],,negative,0.8991052508354187
再或者，就是语言ai嵌套图形ai进行训练,"['语言', 'ai', '嵌套', '图形', 'ai', '进行', '训练']",语言 ai 嵌套 图形 ai 进行 训练,negative,0.526617169380188
Only function can do,"['Only', 'function', 'can', 'do']",Only function can do,positive,0.8782548308372498
去马赛克你要原来的马赛克规则啊，你又没有，怎么去,"['马赛克', '原来', '马赛克', '规则', '没有']",马赛克 原来 马赛克 规则 没有,negative,0.6962777376174927
下面有请春哥,"['下面', '请春哥']",下面 请春哥,negative,0.5169607996940613
味道甜？青苹果有话说,"['味道', '青苹果', '有话']",味道 青苹果 有话,positive,0.8367950320243835
真是天才,"['真是', '天才']",真是 天才,positive,0.9323957562446594
then，what about love？,"['then', 'what', 'about', 'love']",then what about love,negative,0.7576611638069153
lamba 和 function 在一定程度上是同态的， 但是对于机器学习来说， function 我觉得更为契合，因为输入输出的行为是不透明的,"['lamba', 'function', '一定', '程度', '同态', '机器', '学习', '来说', 'function', '觉得', '更为', '契合', '输入输出', '行为', '透明']",lamba function 一定 程度 同态 机器 学习 来说 function 觉得 更为 契合 输入输出 行为 透明,positive,0.9770759344100952
1小时前，刚刚学,"['小时', '刚刚']",小时 刚刚,positive,0.9387305378913879
因为反例的力量太大了，一个逻辑系统并不能承受一个反例,"['反例', '力量', '太大', '逻辑系统', '不能', '承受', '反例']",反例 力量 太大 逻辑系统 不能 承受 反例,negative,0.5578351020812988
高数直接砸你脸上,"['高数', '直接', '脸上']",高数 直接 脸上,negative,0.8954252600669861
谁告诉你猫训不了了,"['告诉', '猫训', '不了']",告诉 猫训 不了,negative,0.8306180834770203
我的世界刷题练习和我们学习的语法对不对得到了吗？,"['世界', '刷题', '练习', '学习', '语法', '得到']",世界 刷题 练习 学习 语法 得到,positive,0.6263746023178101
大脑开始发烫了,"['大脑', '发烫']",大脑 发烫,positive,0.6568999290466309
你是我老婆，你是我老婆，你是我老婆，你是我老婆，你是我老婆，你是我老婆，你是我老婆,"['老婆', '老婆', '老婆', '老婆', '老婆', '老婆', '老婆']",老婆 老婆 老婆 老婆 老婆 老婆 老婆,positive,0.6061655282974243
量变引发质变,"['量变', '引发', '质变']",量变 引发 质变,positive,0.6177700161933899
连续挖坑,"['连续', '挖坑']",连续 挖坑,negative,0.9178669452667236
这是不也是说，可以描述现实世界了？,"['描述', '现实', '世界']",描述 现实 世界,negative,0.6017618775367737
居然需要这么多能量,"['居然', '需要', '能量']",居然 需要 能量,positive,0.9249788522720337
单说这段听一听就好了，不能全当真,"['单说', '这段', '不能', '当真']",单说 这段 不能 当真,positive,0.6175108551979065
难怪有时候生成的文章不通顺,"['难怪', '有时候', '生成', '文章', '通顺']",难怪 有时候 生成 文章 通顺,negative,0.6218073964118958
可以的啊，我直接告诉gpt错了，它就知道是错的了,"['直接', '告诉', 'gpt', '知道']",直接 告诉 gpt 知道,positive,0.645084798336029
这种和算法好像,"['这种', '算法', '好像']",这种 算法 好像,positive,0.6756066679954529
要来了吗，概率论兄,"['要来', '概率论']",要来 概率论,positive,0.7579432129859924
←好好好，那你去做，你真做出来我就当你粉丝,"['好好', '出来', '粉丝']",好好 出来 粉丝,positive,0.6051870584487915
图解电影，吐舌,"['图解', '电影', '吐舌']",图解 电影 吐舌,negative,0.5406071543693542
花朵、树木、天空、微风、云彩、太阳、彩虹，海洋、沙滩、森林、石子、沙砾、大地,"['花朵', '树木', '天空', '微风', '云彩', '太阳', '彩虹', '海洋', '沙滩', '森林', '石子', '沙砾', '大地']",花朵 树木 天空 微风 云彩 太阳 彩虹 海洋 沙滩 森林 石子 沙砾 大地,positive,0.9302878975868225
请问这个样子跟符号主义的区别在哪里,"['请问', '样子', '符号', '主义', '区别']",请问 样子 符号 主义 区别,negative,0.8438172340393066
我觉得这只是它的信息来源不够立体，虽然他有海量的知识学习，但却没有一个六个点感官，像人类一样拥有视觉味觉触觉等等,"['觉得', '信息', '来源', '不够', '立体', '海量', '知识', '学习', '没有', '六个', '感官', '人类', '拥有', '视觉', '味觉', '触觉']",觉得 信息 来源 不够 立体 海量 知识 学习 没有 六个 感官 人类 拥有 视觉 味觉 触觉,positive,0.592460572719574
《真实》,['真实'],真实,positive,0.9556811451911926
要不让这个模型生成规则 再丢回原来的专家模型,"['不让', '模型', '生成', '规则', '原来', '专家', '模型']",不让 模型 生成 规则 原来 专家 模型,positive,0.7347981929779053
是不是表示趋势中的点有BUG 不在函数附近导致识别不出来,"['是不是', '表示', '趋势', 'BUG', '函数', '附近', '导致', '识别', '出来']",是不是 表示 趋势 BUG 函数 附近 导致 识别 出来,negative,0.6034592986106873
好像函数的定义域,"['好像', '函数', '定义域']",好像 函数 定义域,positive,0.8948478698730469
我才看了一半！,['一半'],一半,positive,0.8399741649627686
闻着味儿就来了,"['闻着', '味儿']",闻着 味儿,positive,0.7993850708007812
高等数学,['高等数学'],高等数学,positive,0.9643386006355286
高等代数,"['高等', '代数']",高等 代数,positive,0.9659157991409302
可以在时事发生后往里面添东西啊，这几句话又不用半年,"['时事', '发生', '往里面', '东西', '几句话', '不用', '半年']",时事 发生 往里面 东西 几句话 不用 半年,positive,0.8590536117553711
新陈代谢,['新陈代谢'],新陈代谢,positive,0.9551513195037842
198硫年,['硫年'],硫年,positive,0.8289592862129211
画出来呀哈哈哈,"['出来', '哈哈哈']",出来 哈哈哈,positive,0.776256263256073
退火！！！,['退火'],退火,negative,0.9522416591644287
人也是这样的啊,[],,negative,0.5763860940933228
维纳过程,"['维纳', '过程']",维纳 过程,positive,0.9264319539070129
及你太美,['太美'],太美,positive,0.7324889302253723
太厉害了,['厉害'],厉害,positive,0.6448057293891907
多头注意力机制,"['多头', '注意力', '机制']",多头 注意力 机制,positive,0.7509592771530151
人是整体的，计算机是具体的？,"['整体', '计算机', '具体']",整体 计算机 具体,positive,0.8671964406967163
牛逼，讲的太好了,['太好了'],太好了,positive,0.9689605236053467
出现概率最大,"['出现', '概率', '最大']",出现 概率 最大,positive,0.5905443429946899
信息有用，建议反复咀嚼,"['信息', '有用', '建议', '反复', '咀嚼']",信息 有用 建议 反复 咀嚼,positive,0.9840351939201355
好有禅意！,['禅意'],禅意,positive,0.9704114198684692
混沌系统,"['混沌', '系统']",混沌 系统,positive,0.9106769561767578
学习率控制速度,"['学习', '率控制', '速度']",学习 率控制 速度,positive,0.7899969816207886
不，这是小学二年级学的,"['这是', '小学', '二年级']",这是 小学 二年级,negative,0.6748666763305664
那是不是算力足够能够无限减少误差,"['是不是', '算力', '足够', '能够', '无限', '减少', '误差']",是不是 算力 足够 能够 无限 减少 误差,positive,0.9649956822395325
我最想问的是这种熵减是怎么做到的qwq,"['这种', '减是', '做到', 'qwq']",这种 减是 做到 qwq,positive,0.6324198842048645
functions  describe everything,"['functions', 'describe', 'everything']",functions describe everything,positive,0.9547168612480164
这跟编程描述的差不多,"['编程', '描述', '差不多']",编程 描述 差不多,positive,0.9527953267097473
这是Bule的图吗？,"['这是', 'Bule']",这是 Bule,negative,0.9358497262001038
这不是面相学吗，俗称算命,"['不是', '面相', '俗称', '算命']",不是 面相 俗称 算命,negative,0.670053243637085
还真有炼丹那感觉了,"['炼丹', '感觉']",炼丹 感觉,positive,0.6681081056594849
反应慢的人说话方式,"['反应', '说话', '方式']",反应 说话 方式,negative,0.8384653925895691
看的太仔细，人眼看不到这些信息而已,"['仔细', '眼看', '不到', '信息']",仔细 眼看 不到 信息,negative,0.5448507070541382
但其实现在前端科研正在试图推翻神经网络，想要提出新的方法使得机器学习能够发展的更好,"['其实', '现在', '前端', '科研', '正在', '试图', '推翻', '神经网络', '想要', '提出', '方法', '机器', '学习', '能够', '发展', '更好']",其实 现在 前端 科研 正在 试图 推翻 神经网络 想要 提出 方法 机器 学习 能够 发展 更好,positive,0.988580048084259
紧急撤回了一个甲方,"['紧急', '撤回', '甲方']",紧急 撤回 甲方,negative,0.5924466252326965
还有个熟悉的名字叫正态分布,"['熟悉', '名字', '正态分布']",熟悉 名字 正态分布,positive,0.9411425590515137
我静音播放怎么还有声音啊,"['静音', '播放', '声音']",静音 播放 声音,negative,0.7212315201759338
以后再也不用学习了？直接插卡就可以！！！,"['以后', '再也', '不用', '学习', '直接', '插卡']",以后 再也 不用 学习 直接 插卡,positive,0.5026679635047913
能不能接化发,"['不能', '接化发']",不能 接化发,negative,0.851024329662323
这里是有广切掉了吗,['切掉'],切掉,negative,0.7061748504638672
